mode,N,threads,mean_seconds,speedup
omp_cuadrantes,4000,1,0.0326471,0.9071311081229266
omp_cuadrantes,4000,4,0.0160441,1.8458623419200828
omp_cuadrantes,4000,8,0.0170065,1.7414047570046745
omp_cuadrantes,4000,16,0.0152167,1.946230128740134
omp_cuadrantes,20000,1,0.5990064,0.9046761436939571
omp_cuadrantes,20000,4,0.2247235,2.411438056100052
omp_cuadrantes,20000,8,0.18822,2.8791138029964936
omp_cuadrantes,20000,16,0.188637,2.872749248556752
omp_cuadrantes,40000,1,2.3923753000000003,0.9107357445129949
omp_cuadrantes,40000,4,0.8584954,2.537953843433523
omp_cuadrantes,40000,8,0.7243809999999999,3.007839382866199
omp_cuadrantes,40000,16,0.7191238,3.0298283828180903
omp_cuadrantes,80000,1,9.4380548,0.9638687730442081
omp_cuadrantes,80000,4,3.3678702,2.701127347485066
omp_cuadrantes,80000,8,2.7334465000000003,3.3280498813494237
omp_cuadrantes,80000,16,2.7106891,3.3559902904394305
omp_cuadrantes,120000,1,21.831329,0.9521523220139276
omp_cuadrantes,120000,4,8.201852500000001,2.5343970279884935
omp_cuadrantes,120000,8,7.0439542,2.951005927892035
omp_cuadrantes,120000,16,7.184020200000001,2.893470511121335
omp_cuadrantes,140000,1,29.780411700000002,0.9646309624389778
omp_cuadrantes,140000,4,11.851708499999999,2.423878987573817
omp_cuadrantes,140000,8,9.9248278,2.894469080864053
omp_cuadrantes,140000,16,10.0823489,2.8492474804159973
omp_cuadrantes,160000,1,37.7301155,0.967902753968511
omp_cuadrantes,160000,4,16.5166094,2.21105202742156
omp_cuadrantes,160000,8,14.230718300000001,2.566214995626749
omp_cuadrantes,160000,16,13.6240138,2.6804936662644896
omp_cuadrantes,180000,1,49.756194,0.9509771567334913
omp_cuadrantes,180000,4,22.2880019,2.1229809703130003
omp_cuadrantes,180000,8,17.5214699,2.7005156627869447
omp_cuadrantes,180000,16,16.9679052,2.7886178843101974
omp_cuadrantes,200000,1,59.5243911,0.9676837097456675
omp_cuadrantes,200000,4,24.5269555,2.3484685492253616
omp_cuadrantes,200000,8,20.4347523,2.818765931407938
omp_cuadrantes,200000,16,20.5846113,2.798244900548596
omp_indivisible,4000,1,0.0329034,0.9000650388713628
omp_indivisible,4000,4,0.0159727,1.8541135812980898
omp_indivisible,4000,8,0.0152009,1.9482530639633178
omp_indivisible,4000,16,0.015125099999999999,1.9580168065004528
omp_indivisible,20000,1,0.6004794999999999,0.9024567866180279
omp_indivisible,20000,4,0.2243735,2.4151996559308473
omp_indivisible,20000,8,0.1910102,2.8370568692143143
omp_indivisible,20000,16,0.1876419,2.8879839737286823
omp_indivisible,40000,1,2.3490583999999997,0.9275298136478856
omp_indivisible,40000,4,0.8746509,2.49107581093211
omp_indivisible,40000,8,0.7019897,3.1037801551789146
omp_indivisible,40000,16,0.7661282,2.8439387820471818
omp_indivisible,80000,1,9.5118611,0.9563897332352759
omp_indivisible,80000,4,3.4594285,2.6296384793037344
omp_indivisible,80000,8,2.7365652000000003,3.324257101566591
omp_indivisible,80000,16,2.7335657,3.3279047582430517
omp_indivisible,120000,1,21.848397499999997,0.9514084774409657
omp_indivisible,120000,4,8.098217799999999,2.5668302722112513
omp_indivisible,120000,8,6.6731921,3.1149636168873363
omp_indivisible,120000,16,6.6610826,3.120626457927424
omp_indivisible,140000,1,29.6697119,0.9682300689950414
omp_indivisible,140000,4,11.606071,2.4751793436383425
omp_indivisible,140000,8,9.507420100000001,3.0215460027899677
omp_indivisible,140000,16,9.4044794,3.05461961031038
omp_indivisible,160000,1,37.8140039,0.9657555120736632
omp_indivisible,160000,4,15.6536993,2.332936259993189
omp_indivisible,160000,8,13.7793444,2.6502772294449657
omp_indivisible,160000,16,14.097599800000001,2.590446829112002
omp_indivisible,180000,1,49.6025252,0.9539232873571524
omp_indivisible,180000,4,21.5455464,2.1961384975597555
omp_indivisible,180000,8,19.3238611,2.448630926042001
omp_indivisible,180000,16,18.4963368,2.5581824342644968
omp_indivisible,200000,1,60.96342610000001,0.9448416417003177
omp_indivisible,200000,4,25.1166939,2.293326654747343
omp_indivisible,200000,8,21.8470233,2.6365506553929476
omp_indivisible,200000,16,21.098685,2.7300651012136536
serial,4000,1,0.029615199999999998,1.0
serial,20000,1,0.5419068,1.0
serial,40000,1,2.1788217,1.0
serial,80000,1,9.097046299999999,1.0
serial,120000,1,20.786750599999998,1.0
serial,140000,1,28.7271072,1.0
serial,160000,1,36.5190827,1.0
serial,180000,1,47.317003899999996,1.0
serial,200000,1,57.6007836,1.0
