mode,N,threads,run,seconds
serial,4000,1,1,0.030341
serial,4000,1,2,0.029720
serial,4000,1,3,0.029590
serial,4000,1,4,0.029453
serial,4000,1,5,0.029633
serial,4000,1,6,0.029484
serial,4000,1,7,0.029491
serial,4000,1,8,0.029537
serial,4000,1,9,0.029306
serial,4000,1,10,0.029597
omp_indivisible,4000,1,1,0.035627
omp_indivisible,4000,1,2,0.032571
omp_indivisible,4000,1,3,0.032392
omp_indivisible,4000,1,4,0.032968
omp_indivisible,4000,1,5,0.032934
omp_indivisible,4000,1,6,0.032496
omp_indivisible,4000,1,7,0.032261
omp_indivisible,4000,1,8,0.032706
omp_indivisible,4000,1,9,0.032698
omp_indivisible,4000,1,10,0.032381
omp_indivisible,4000,4,1,0.016087
omp_indivisible,4000,4,2,0.016166
omp_indivisible,4000,4,3,0.015865
omp_indivisible,4000,4,4,0.015738
omp_indivisible,4000,4,5,0.015827
omp_indivisible,4000,4,6,0.015753
omp_indivisible,4000,4,7,0.015981
omp_indivisible,4000,4,8,0.015970
omp_indivisible,4000,4,9,0.016121
omp_indivisible,4000,4,10,0.016219
omp_indivisible,4000,8,1,0.014924
omp_indivisible,4000,8,2,0.014844
omp_indivisible,4000,8,3,0.015737
omp_indivisible,4000,8,4,0.015237
omp_indivisible,4000,8,5,0.015089
omp_indivisible,4000,8,6,0.016238
omp_indivisible,4000,8,7,0.014666
omp_indivisible,4000,8,8,0.014787
omp_indivisible,4000,8,9,0.015812
omp_indivisible,4000,8,10,0.014675
omp_indivisible,4000,16,1,0.015430
omp_indivisible,4000,16,2,0.015074
omp_indivisible,4000,16,3,0.014771
omp_indivisible,4000,16,4,0.015565
omp_indivisible,4000,16,5,0.014886
omp_indivisible,4000,16,6,0.014890
omp_indivisible,4000,16,7,0.015555
omp_indivisible,4000,16,8,0.015403
omp_indivisible,4000,16,9,0.014906
omp_indivisible,4000,16,10,0.014771
omp_cuadrantes,4000,1,1,0.033161
omp_cuadrantes,4000,1,2,0.032919
omp_cuadrantes,4000,1,3,0.032559
omp_cuadrantes,4000,1,4,0.032345
omp_cuadrantes,4000,1,5,0.032346
omp_cuadrantes,4000,1,6,0.032462
omp_cuadrantes,4000,1,7,0.032623
omp_cuadrantes,4000,1,8,0.032526
omp_cuadrantes,4000,1,9,0.032673
omp_cuadrantes,4000,1,10,0.032857
omp_cuadrantes,4000,4,1,0.016043
omp_cuadrantes,4000,4,2,0.015959
omp_cuadrantes,4000,4,3,0.016326
omp_cuadrantes,4000,4,4,0.015894
omp_cuadrantes,4000,4,5,0.015931
omp_cuadrantes,4000,4,6,0.016220
omp_cuadrantes,4000,4,7,0.016107
omp_cuadrantes,4000,4,8,0.015933
omp_cuadrantes,4000,4,9,0.016067
omp_cuadrantes,4000,4,10,0.015961
omp_cuadrantes,4000,8,1,0.014623
omp_cuadrantes,4000,8,2,0.014823
omp_cuadrantes,4000,8,3,0.015901
omp_cuadrantes,4000,8,4,0.016370
omp_cuadrantes,4000,8,5,0.015186
omp_cuadrantes,4000,8,6,0.014730
omp_cuadrantes,4000,8,7,0.014873
omp_cuadrantes,4000,8,8,0.017297
omp_cuadrantes,4000,8,9,0.027088
omp_cuadrantes,4000,8,10,0.019174
omp_cuadrantes,4000,16,1,0.016602
omp_cuadrantes,4000,16,2,0.015348
omp_cuadrantes,4000,16,3,0.015009
omp_cuadrantes,4000,16,4,0.015008
omp_cuadrantes,4000,16,5,0.014877
omp_cuadrantes,4000,16,6,0.015193
omp_cuadrantes,4000,16,7,0.015100
omp_cuadrantes,4000,16,8,0.014934
omp_cuadrantes,4000,16,9,0.015165
omp_cuadrantes,4000,16,10,0.014931
serial,20000,1,1,0.541284
serial,20000,1,2,0.543515
serial,20000,1,3,0.542642
serial,20000,1,4,0.547038
